jobId,vmId,status,statusName,classType,submissionTime,readyTime,startTime,finishTime,totalWaitingTime,vmQueueWaitingTime,executionTime,responseTime,cpuTime,taskCount,modeledCpuCost,modeledBandwidthCost,modeledTotalCost,modeledFileBytes
25,0,4,SUCCESS,1,0.100000,0.000000,0.100000,0.210000,0.100000,0.000000,0.110000,0.110000,0.110000,0,0.330000,2.111262,2.441262,21112623.000000
0,2,4,SUCCESS,2,0.210000,0.210000,0.210000,13.881000,0.000000,0.000000,13.671000,13.671000,13.671000,1,41.013000,1.255701,42.268701,12557008.000000
3,3,4,SUCCESS,2,0.210000,0.210000,0.210000,14.091000,0.000000,0.000000,13.881000,13.881000,13.881000,1,41.643000,1.257039,42.900039,12570392.000000
4,0,4,SUCCESS,2,0.210000,0.210000,0.210000,14.271000,0.000000,0.000000,14.061000,14.061000,14.061000,1,42.183000,1.252943,43.435943,12529426.000000
1,1,4,SUCCESS,2,0.210000,0.210000,0.210000,14.381000,0.000000,0.000000,14.171000,14.171000,14.171000,1,42.513000,1.256609,43.769609,12566086.000000
5,3,4,SUCCESS,2,14.381000,14.381000,14.381000,26.082000,0.000000,0.000000,11.701000,11.701000,11.701000,1,35.103000,1.708731,36.811731,17087306.000000
7,1,4,SUCCESS,2,14.381000,14.381000,14.381000,26.373000,0.000000,0.000000,11.992000,11.992000,11.992000,1,35.976000,1.692090,37.668090,16920903.000000
2,2,4,SUCCESS,2,13.881000,0.210000,13.881000,27.522000,13.671000,0.000000,13.641000,13.641000,13.641000,1,40.923000,1.253663,42.176663,12536628.000000
6,3,4,SUCCESS,2,26.082000,14.381000,26.082000,37.783000,11.701000,0.000000,11.701000,11.701000,11.701000,1,35.103000,1.699310,36.802310,16993103.000000
11,1,4,SUCCESS,2,26.373000,14.381000,26.373000,37.995000,11.992000,0.000000,11.622000,11.622000,11.622000,1,34.866000,1.696354,36.562354,16963536.000000
13,2,4,SUCCESS,2,27.522000,14.271000,27.522000,39.002000,13.251000,0.000000,11.480000,11.480000,11.480000,1,34.440000,1.695288,36.135288,16952882.000000
8,0,4,SUCCESS,2,27.522000,27.522000,27.522000,39.441000,0.000000,0.000000,11.919000,11.919000,11.919000,1,35.757000,1.682580,37.439580,16825800.000000
12,1,4,SUCCESS,2,37.995000,14.381000,37.995000,49.725000,23.614000,0.000000,11.730000,11.730000,11.730000,1,35.190000,1.696445,36.886445,16964447.000000
10,2,4,SUCCESS,2,39.002000,27.522000,39.002000,50.066000,11.480000,0.000000,11.064000,11.064000,11.064000,1,33.192000,0.856602,34.048602,8566021.000000
9,0,4,SUCCESS,2,39.441000,27.522000,39.441000,51.041000,11.919000,0.000000,11.600000,11.600000,11.600000,1,34.800000,1.689199,36.489199,16891988.000000
14,3,4,SUCCESS,2,51.041000,51.041000,51.041000,51.788000,0.000000,0.000000,0.747000,0.747000,0.747000,1,2.241000,0.041081,2.282081,410810.000000
15,0,4,SUCCESS,2,51.788000,51.788000,51.788000,53.208000,0.000000,0.000000,1.420000,1.420000,1.420000,1,4.260000,0.000299,4.260299,2991.000000
16,2,4,SUCCESS,2,53.208000,53.208000,53.208000,64.153000,0.000000,0.000000,10.945000,10.945000,10.945000,1,32.835000,1.666106,34.501106,16661057.000000
17,3,4,SUCCESS,2,53.208000,53.208000,53.208000,64.404000,0.000000,0.000000,11.196000,11.196000,11.196000,1,33.588000,1.666763,35.254763,16667629.000000
20,1,4,SUCCESS,2,53.208000,53.208000,53.208000,64.521000,0.000000,0.000000,11.313000,11.313000,11.313000,1,33.939000,1.662260,35.601260,16622601.000000
18,0,4,SUCCESS,2,53.208000,53.208000,53.208000,64.631000,0.000000,0.000000,11.423000,11.423000,11.423000,1,34.269000,1.667916,35.936916,16679155.000000
19,3,4,SUCCESS,2,64.404000,53.208000,64.404000,75.890000,11.196000,0.000000,11.486000,11.486000,11.486000,1,34.458000,1.668999,36.126999,16689989.000000
21,0,4,SUCCESS,2,75.890000,75.890000,75.890000,80.058000,0.000000,0.000000,4.168000,4.168000,4.168000,1,12.504000,4.167392,16.671392,41673922.000000
22,0,4,SUCCESS,2,80.058000,80.058000,80.058000,83.088000,0.000000,0.000000,3.030000,3.030000,3.030000,1,9.090000,9.302113,18.392113,93021131.000000
23,0,4,SUCCESS,2,83.088000,83.088000,83.088000,93.149000,0.000000,0.000000,10.061000,10.061000,10.061000,1,30.183000,9.488036,39.671036,94880357.000000
24,0,4,SUCCESS,2,93.149000,93.149000,93.149000,93.723000,0.000000,0.000000,0.574000,0.574000,0.574000,1,1.722000,0.206599,1.928598,2065985.000000
