taskId,jobId,vmId,jobStatus,jobStatusName,taskStatus,taskStatusName,depth,lengthMi,startTime,finishTime,duration,exactJobTiming
3,2,0,4,SUCCESS,4,SUCCESS,1,13360,0.491000,13.851000,13.360000,false
1,0,1,4,SUCCESS,4,SUCCESS,1,13390,0.491000,13.881000,13.390000,false
4,3,2,4,SUCCESS,4,SUCCESS,1,13600,0.491000,14.091000,13.600000,false
5,4,3,4,SUCCESS,4,SUCCESS,1,13780,0.491000,14.271000,13.780000,false
11,10,1,4,SUCCESS,4,SUCCESS,2,10510,14.515000,25.025000,10.510000,false
14,13,3,4,SUCCESS,4,SUCCESS,2,10370,15.381000,25.751000,10.370000,false
9,8,2,4,SUCCESS,4,SUCCESS,2,10810,15.200000,26.010000,10.810000,false
2,1,0,4,SUCCESS,4,SUCCESS,1,13830,14.132000,27.962000,13.830000,false
10,9,0,4,SUCCESS,4,SUCCESS,2,10490,29.072000,39.562000,10.490000,false
12,11,1,4,SUCCESS,4,SUCCESS,2,10510,29.074000,39.584000,10.510000,false
6,5,2,4,SUCCESS,4,SUCCESS,2,10590,29.073000,39.663000,10.590000,false
7,6,3,4,SUCCESS,4,SUCCESS,2,10590,29.073000,39.663000,10.590000,false
13,12,0,4,SUCCESS,4,SUCCESS,2,10620,40.672000,51.292000,10.620000,false
8,7,1,4,SUCCESS,4,SUCCESS,2,10880,40.775000,51.655000,10.880000,false
15,14,0,4,SUCCESS,4,SUCCESS,3,720,51.682000,52.402000,0.720000,false
16,15,0,4,SUCCESS,4,SUCCESS,4,1420,52.402000,53.822000,1.420000,true
17,16,0,4,SUCCESS,4,SUCCESS,5,10390,54.377000,64.767000,10.390000,false
18,17,1,4,SUCCESS,4,SUCCESS,5,10640,54.378000,65.018000,10.640000,false
21,20,2,4,SUCCESS,4,SUCCESS,5,10760,54.375000,65.135000,10.760000,false
19,18,3,4,SUCCESS,4,SUCCESS,5,10830,54.376000,65.206000,10.830000,false
20,19,0,4,SUCCESS,4,SUCCESS,5,10930,65.323000,76.253000,10.930000,false
22,21,0,4,SUCCESS,4,SUCCESS,6,1390,79.031000,80.421000,1.390000,false
23,22,0,4,SUCCESS,4,SUCCESS,7,3030,80.421000,83.451000,3.030000,true
24,23,0,4,SUCCESS,4,SUCCESS,8,3860,89.652000,93.512000,3.860000,false
25,24,0,4,SUCCESS,4,SUCCESS,9,450,93.636000,94.086000,0.450000,false
